                                     List of relations
       Schema       |                  Name                  |       Type        |  Owner   
--------------------+----------------------------------------+-------------------+----------
 analytics          | agent_utilization_hourly               | partitioned table | postgres
 analytics          | agent_utilization_hourly_default       | table             | postgres
 analytics          | agent_utilization_hourly_y2026m08      | table             | postgres
 analytics          | agent_utilization_hourly_y2026m09      | table             | postgres
 analytics          | analytics_event_dedup                  | table             | postgres
 analytics          | analytics_events                       | partitioned table | postgres
 analytics          | analytics_events_default               | table             | postgres
 analytics          | analytics_events_y2026m08              | table             | postgres
 analytics          | analytics_events_y2026m09              | table             | postgres
 analytics          | analytics_events_y2026m10              | table             | postgres
 analytics          | analytics_projection_events            | table             | postgres
 analytics          | billing_revenue_monthly                | partitioned table | postgres
 analytics          | billing_revenue_monthly_2027           | table             | postgres
 analytics          | billing_revenue_monthly_before2027     | table             | postgres
 analytics          | billing_revenue_monthly_default        | table             | postgres
 analytics          | call_latency_stage_hourly              | partitioned table | postgres
 analytics          | call_latency_stage_hourly_default      | table             | postgres
 analytics          | call_latency_stage_hourly_y2026m08     | table             | postgres
 analytics          | call_latency_stage_hourly_y2026m09     | table             | postgres
 analytics          | call_latency_stage_hourly_y2026m10     | table             | postgres
 analytics          | call_metrics_hourly                    | partitioned table | postgres
 analytics          | call_metrics_hourly_default            | table             | postgres
 analytics          | call_metrics_hourly_y2026m08           | table             | postgres
 analytics          | call_metrics_hourly_y2026m09           | table             | postgres
 analytics          | call_metrics_hourly_y2026m10           | table             | postgres
 analytics          | campaign_outcome_summary               | table             | postgres
 analytics          | conversation_turn_stats_daily          | partitioned table | postgres
 analytics          | conversation_turn_stats_daily_default  | table             | postgres
 analytics          | conversation_turn_stats_daily_y2026m08 | table             | postgres
 analytics          | conversation_turn_stats_daily_y2026m09 | table             | postgres
 analytics          | event_schema_versions                  | table             | postgres
 analytics          | lead_funnel_daily                      | partitioned table | postgres
 analytics          | lead_funnel_daily_default              | table             | postgres
 analytics          | lead_funnel_daily_y2026m08             | table             | postgres
 analytics          | lead_funnel_daily_y2026m09             | table             | postgres
 analytics          | provider_health_5min                   | partitioned table | postgres
 analytics          | provider_health_5min_default           | table             | postgres
 analytics          | provider_health_5min_y2026m08          | table             | postgres
 analytics          | provider_health_5min_y2026m09          | table             | postgres
 analytics          | roi_by_campaign                        | table             | postgres
 analytics          | tool_execution_stats_daily             | partitioned table | postgres
 analytics          | tool_execution_stats_daily_default     | table             | postgres
 analytics          | tool_execution_stats_daily_y2026m08    | table             | postgres
 analytics          | tool_execution_stats_daily_y2026m09    | table             | postgres
 analytics          | usage_cost_daily                       | partitioned table | postgres
 analytics          | usage_cost_daily_default               | table             | postgres
 analytics          | usage_cost_daily_y2026m08              | table             | postgres
 analytics          | usage_cost_daily_y2026m09              | table             | postgres
 analytics          | webhook_delivery_stats_daily           | partitioned table | postgres
 analytics          | webhook_delivery_stats_daily_default   | table             | postgres
 analytics          | webhook_delivery_stats_daily_y2026m08  | table             | postgres
 analytics          | webhook_delivery_stats_daily_y2026m09  | table             | postgres
 audit              | audit_chain                            | table             | postgres
 audit              | audit_events                           | partitioned table | postgres
 audit              | audit_events_default                   | table             | postgres
 audit              | audit_events_y2026m08                  | table             | postgres
 audit              | audit_events_y2026m09                  | table             | postgres
 audit              | audit_events_y2026m10                  | table             | postgres
 billing            | billing_accounts                       | table             | postgres
 billing            | billing_adjustments                    | table             | postgres
 billing            | billing_periods                        | table             | postgres
 billing            | cost_entries                           | partitioned table | postgres
 billing            | cost_entries_2026_08                   | table             | postgres
 billing            | cost_entries_2026_09                   | table             | postgres
 billing            | cost_entries_2026_10                   | table             | postgres
 billing            | cost_entries_2026_11                   | table             | postgres
 billing            | cost_entries_default                   | table             | postgres
 billing            | credit_ledger_entries                  | table             | postgres
 billing            | credits                                | table             | postgres
 billing            | fx_rates                               | table             | postgres
 billing            | invoice_lines                          | table             | postgres
 billing            | invoice_number_sequences               | table             | postgres
 billing            | invoices                               | table             | postgres
 billing            | payment_attempts                       | table             | postgres
 billing            | plan_prices                            | table             | postgres
 billing            | plan_versions                          | table             | postgres
 billing            | plans                                  | table             | postgres
 billing            | quota_configs                          | table             | postgres
 billing            | refunds                                | table             | postgres
 billing            | subscriptions                          | table             | postgres
 billing            | tax_categories                         | table             | postgres
 billing            | tax_lines                              | table             | postgres
 billing            | tax_profiles                           | table             | postgres
 billing            | tax_rules                              | table             | postgres
 billing            | usage_events                           | partitioned table | postgres
 billing            | usage_events_2026_08                   | table             | postgres
 billing            | usage_events_2026_09                   | table             | postgres
 billing            | usage_events_2026_10                   | table             | postgres
 billing            | usage_events_2026_11                   | table             | postgres
 billing            | usage_events_default                   | table             | postgres
 billing            | usage_records                          | table             | postgres
 campaign           | call_jobs                              | table             | postgres
 campaign           | campaign_contacts                      | partitioned table | postgres
 campaign           | campaign_contacts_2026_08              | table             | postgres
 campaign           | campaign_contacts_2026_09              | table             | postgres
 campaign           | campaign_contacts_2026_10              | table             | postgres
 campaign           | campaign_contacts_2026_11              | table             | postgres
 campaign           | campaign_contacts_default              | table             | postgres
 campaign           | campaign_outcomes                      | table             | postgres
 campaign           | campaigns                              | table             | postgres
 campaign           | contact_lists                          | table             | postgres
 campaign           | csv_import_jobs                        | table             | postgres
 crm                | activities                             | partitioned table | postgres
 crm                | activities_2026_08                     | table             | postgres
 crm                | activities_2026_09                     | table             | postgres
 crm                | activities_2026_10                     | table             | postgres
 crm                | activities_2026_11                     | table             | postgres
 crm                | activities_default                     | table             | postgres
