            relname            | relrowsecurity | relforcerowsecurity 
-------------------------------+----------------+---------------------
 api_keys                      | t              | t
 roles                         | t              | t
 memberships                   | t              | t
 teams                         | t              | t
 team_memberships              | t              | t
 role_permissions              | t              | t
 compliance_policies           | t              | t
 data_subject_requests         | t              | t
 agents                        | t              | t
 agent_versions                | t              | t
 call_sessions                 | t              | t
 turns                         | t              | t
 recordings                    | t              | t
 conversations                 | t              | t
 tool_definitions              | t              | t
 tool_executions               | t              | t
 transcripts                   | t              | t
 tenant_phone_numbers          | t              | t
 transcript_segments           | t              | t
 deals                         | t              | t
 provider_configs              | t              | t
 contacts                      | t              | t
 companies                     | t              | t
 activities                    | t              | t
 tasks                         | t              | t
 notes                         | t              | t
 appointments                  | t              | t
 lead_score_records            | t              | t
 crm_field_definitions         | t              | t
 consent_records               | t              | t
 pipelines                     | t              | t
 contact_suppressions          | t              | t
 campaigns                     | t              | t
 contact_lists                 | t              | t
 csv_import_jobs               | t              | t
 campaign_contacts             | t              | t
 documents                     | t              | t
 call_jobs                     | t              | t
 campaign_outcomes             | t              | t
 workflow_definitions          | t              | t
 document_versions             | t              | t
 ingestion_jobs                | t              | t
 knowledge_bases               | t              | t
 document_chunks               | t              | t
 customer_memories             | t              | t
 workflow_versions             | t              | t
 workflow_executions           | t              | t
 prompt_versions               | t              | t
 prompt_experiments            | t              | t
 prompt_templates              | t              | t
 session_memories              | t              | t
 tax_profiles                  | t              | t
 credit_ledger_entries         | t              | t
 invoices                      | t              | t
 invoice_lines                 | t              | t
 billing_periods               | t              | t
 billing_accounts              | t              | t
 subscriptions                 | t              | t
 oauth_attempts                | t              | t
 usage_records                 | t              | t
 invoice_number_sequences      | t              | t
 credits                       | t              | t
 quota_configs                 | t              | t
 tax_lines                     | t              | t
 payment_attempts              | t              | t
 billing_adjustments           | t              | t
 refunds                       | t              | t
 usage_events                  | t              | t
 cost_entries                  | t              | t
 integration_connections       | t              | t
 webhook_endpoints             | t              | t
 inbound_webhook_events        | t              | t
 integration_health            | t              | t
 webhook_deliveries            | t              | t
 plugin_installations          | t              | t
 plugin_executions             | t              | t
 analytics_event_dedup         | t              | t
 analytics_events              | t              | t
 call_metrics_hourly           | t              | t
 conversation_turn_stats_daily | t              | t
 campaign_outcome_summary      | t              | t
 lead_funnel_daily             | t              | t
 tool_execution_stats_daily    | t              | t
 billing_revenue_monthly       | t              | t
 call_latency_stage_hourly     | t              | t
 usage_cost_daily              | t              | t
 roi_by_campaign               | t              | t
 agent_utilization_hourly      | t              | t
 webhook_delivery_stats_daily  | t              | t
 audit_chain                   | t              | t
 audit_events                  | t              | t
(91 rows)

